Date,Country,City,Depart,Arrive
Thu 05 Nov,NZ > Taiwan,Wellington > Auckland > Taipei,07:50,17:00
Fri 06 Nov,Taiwan,Taipei,,
Sat 07 Nov,Taiwan,Taipei,,
Sun 08 Nov,Taiwan,Taipei,,
Mon 09 Nov,Taiwan,Taipei > ???,,
Tue 10 Nov,Taiwan,???,,
Wed 11 Nov,Taiwan,???,,
Thu 12 Nov,Taiwan,???,,
Fri 13 Nov,Taiwan,???,,
Sat 14 Nov,Taiwan,??? > Taipei,,
Sun 15 Nov,Taiwan,Taipei,,
Mon 16 Nov,Taiwan,Taipei,,
Tue 17 Nov,Taiwan > NZ,Taipei > The sky,18:45,
Wed 18 Nov,NZ,The sky > Auckland > Wellington,,17:10
Thu 19 Nov,NZ,Wellington,,
